target,post,postID,post_time,author,comment_time,comment
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,moraregnier,2020-03-06T05:02:34.000Z,i got a tattoo of rare!!! love u
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,josegonzaleztv,2020-03-06T05:02:48.000Z,TE AMO❤️😍
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,sheisselenagomez,2020-03-06T05:02:46.000Z,YOU ARE ADORABLE
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,katie.cayon,2020-03-06T05:01:59.000Z,"Девочки, да, известные бренеды проводят опр,ос, с огромным вознагражден4ием! Мне вчера 64т запл,атили, я чуть с ума не сошла ). Он продолжается пока что, успевай пока не за.кончился! Ссы,лка на этот оп,рос в моем статусс, е есть, посмотри - пройди."
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,gclxo_,2020-03-06T05:02:46.000Z,where is rare deluxe :(((
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,l.idija_,2020-03-06T05:02:33.000Z,YES
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,mich.osorio,2020-03-06T05:02:32.000Z,I love uu❤️❤️❤️
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,kilani.skye,2020-03-06T05:02:33.000Z,❤️❤️❤️
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,vilmaperess,2020-03-06T05:02:31.000Z,❤️❤️❤️❤️
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,telesco2pe,2020-03-06T05:03:00.000Z,We plant trees 🌱 because we do care about climate change and because we believe that we can only fix this world Together! Please help us make the world a better place! 🌎
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,selenagomezkind,2020-03-06T05:02:36.000Z,I love you ❤
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,sophibeg,2020-03-06T05:02:40.000Z,ugh amazing
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,axel.gomess,2020-03-06T05:02:38.000Z,can u just post a new song
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,nicneresc,2020-03-06T05:02:40.000Z,😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😭
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,itzelh._,2020-03-06T05:02:34.000Z,😍😍
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,bcbaba,2020-03-06T05:02:31.000Z,Good going.. one day you'll meet him..
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,jxliya._78,2020-03-06T05:02:33.000Z,Omg Ilysm💖💖💖💖
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,patil.surajd,2020-03-06T05:02:40.000Z,👏👏👏👏👏
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,_selena_gomez__sunshine,2020-03-06T05:02:46.000Z,😍😍😍😍😍😍 Sounds perfect!!!
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,tanu_569,2020-03-06T05:02:30.000Z,sayin🔥selana love💕
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,sg_rare,2020-03-06T05:03:00.000Z,Omg ilysmsmsmsm💖💖💖💖
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,m.cahuana_c,2020-03-06T05:02:40.000Z,❤️❤️❤️
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,selenatorlovesmarie,2020-03-06T05:02:59.000Z,I love you 😭❤️
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,h3llk4t,2020-03-06T05:02:40.000Z,TE AMOOOO AMOR💖😭
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,sophibeg,2020-03-06T05:02:43.000Z,revolutionary
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,ramimalekfanclub,2020-03-06T05:03:01.000Z,SHE IS THE MOMENT
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,damn.thoughts_,2020-03-06T05:02:25.000Z,Check out my page for a follow back 👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,meganclaw12,2020-03-06T05:02:38.000Z,I am in mood boys
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,avaj_13,2020-03-06T05:02:31.000Z,❤️❤️❤️❤️❤️❤️❤️❤️❤️
selenagomez,"In honor of Rare (Live) being out on all platforms, here we have @madisonemikolove and I reinventing the song during our breaks 😐",1,2020-03-06T05:01:53.000Z,bcbaba,2020-03-06T05:03:05.000Z,Good going.. one day you'll meet him..
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,rarebeauty,2020-03-05T20:37:10.000Z,💖
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,tombachik,2020-03-05T20:59:48.000Z,❤️
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,marissa.marino,2020-03-05T20:55:44.000Z,Yesss all the feels 😭🥰
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,goldnthegreat,2020-03-05T23:09:22.000Z,👏👏👏
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,estherhouston,2020-03-05T20:43:14.000Z,Loveeee 🔥🔥🔥
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,bangbangnyc,2020-03-05T20:41:40.000Z,🙌🙌🙌
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,jessiepaege,2020-03-05T20:36:47.000Z,🌈 stream rare 🌈
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,disneylandgomez,2020-03-05T20:36:56.000Z,Miss this tour so much 😩
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,real_ali_shah,2020-03-05T20:41:32.000Z,❤️❤️
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,andresvilchezzz,2020-03-05T20:53:34.000Z,😍😍😈
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,rickydillon,2020-03-05T21:28:15.000Z,YES GIRL
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,nakedwardrobe,2020-03-05T20:52:10.000Z,🤍🤍🤍
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,elizabethloaiza,2020-03-05T21:09:15.000Z,❤️❤️❤️❤️❤️
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,valeria_orsini,2020-03-05T21:24:41.000Z,😍
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,maisa,2020-03-05T22:18:50.000Z,Ily
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,kurretulaynmatur,2020-03-05T21:43:58.000Z,🍒
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,pumasportstyle,2020-03-06T01:47:41.000Z,❤️
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,videosofgomez,2020-03-05T22:36:49.000Z,miss it sm
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,verawanggang,2020-03-06T02:26:56.000Z,🖤
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,winnyputrilubis,2020-03-06T02:18:07.000Z,❤️❤️❤️
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,radenrauf,2020-03-06T03:33:00.000Z,💜💜💜
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,lilyenna1995,2020-03-06T04:37:01.000Z,one of my favorite song
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,hafizsankhala,2020-03-06T05:10:13.000Z,Where is Justin Bieber😊
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,jessicapinheiro02,2020-03-06T04:50:20.000Z,I love SO much this song! 😍
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,__shivani__roy_,2020-03-06T05:14:07.000Z,Old is gold❤️❤️😍😍 🔥🔥🔥 fav from that tym....❤️😍👏👏 keep growing
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,shholln,2020-03-06T03:36:12.000Z,❤️❤️❤️😘
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,kathy_luw,2020-03-06T05:26:56.000Z,I love it this song! 😍❤️
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,sharvaridhumal,2020-03-06T04:39:31.000Z,@ananya_1357 she slays everytime!💃🏻🥰
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,brittbritt_36,2020-03-06T05:31:09.000Z,@adriaaanalopez remember when we went!? It was so much fun.
selenagomez,Throwback to Feel Me on the Revival Tour!,2,2020-03-05T20:35:15.000Z,janinabarzola,2020-03-06T04:39:47.000Z,@melaniemolina29 dime si no es hermosa 💖
selenagomez,Momma and I being tourists. We take great pictures. OH and we went to CrimeCon! Love you Chicago and the bean.,3,2020-02-25T16:30:46.000Z,rarebeauty,2020-02-25T16:32:08.000Z,💕💕💕
